
# Surface 0 of 1 surfaces

# Curve title: ""o_argB_all""
# IsoCurve 0, 401 points
# x y z type
 200 -200  0.729953 i
 200 -199  0.732971 i
 200 -198  0.736263 i
 200 -197  0.7396 i
 200 -196  0.742963 i
 200 -195  0.74635 i
 200 -194  0.749763 i
 200 -193  0.753201 i
 200 -192  0.756664 i
 200 -191  0.760153 i
 200 -190  0.763668 i
 200 -189  0.76721 i
 200 -188  0.770778 i
 200 -187  0.774373 i
 200 -186  0.777994 i
 200 -185  0.781644 i
 200 -184  0.785321 i
 200 -183  0.789025 i
 200 -182  0.792759 i
 200 -181  0.79652 i
 200 -180  0.80031 i
 200 -179  0.80413 i
 200 -178  0.807978 i
 200 -177  0.811856 i
 200 -176  0.815765 i
 200 -175  0.819703 i
 200 -174  0.823671 i
 200 -173  0.827671 i
 200 -172  0.831701 i
 200 -171  0.835762 i
 200 -170  0.839855 i
 200 -169  0.84398 i
 200 -168  0.848136 i
 200 -167  0.852325 i
 200 -166  0.856546 i
 200 -165  0.8608 i
 200 -164  0.865087 i
 200 -163  0.869407 i
 200 -162  0.873761 i
 200 -161  0.878148 i
 200 -160  0.882569 i
 200 -159  0.887024 i
 200 -158  0.891514 i
 200 -157  0.896038 i
 200 -156  0.900597 i
 200 -155  0.905191 i
 200 -154  0.909819 i
 200 -153  0.914484 i
 200 -152  0.919183 i
 200 -151  0.923919 i
 200 -150  0.92869 i
 200 -149  0.933497 i
 200 -148  0.93834 i
 200 -147  0.943219 i
 200 -146  0.948135 i
 200 -145  0.953086 i
 200 -144  0.958075 i
 200 -143  0.9631 i
 200 -142  0.968161 i
 200 -141  0.973259 i
 200 -140  0.978394 i
 200 -139  0.983566 i
 200 -138  0.988774 i
 200 -137  0.994019 i
 200 -136  0.999301 i
 200 -135 -0.995381 i
 200 -134 -0.990026 i
 200 -133 -0.984635 i
 200 -132 -0.979207 i
 200 -131 -0.973743 i
 200 -130 -0.968243 i
 200 -129 -0.962707 i
 200 -128 -0.957135 i
 200 -127 -0.951528 i
 200 -126 -0.945885 i
 200 -125 -0.940208 i
 200 -124 -0.934495 i
 200 -123 -0.928748 i
 200 -122 -0.922967 i
 200 -121 -0.917152 i
 200 -120 -0.911304 i
 200 -119 -0.905423 i
 200 -118 -0.899509 i
 200 -117 -0.893563 i
 200 -116 -0.887585 i
 200 -115 -0.881576 i
 200 -114 -0.875536 i
 200 -113 -0.869467 i
 200 -112 -0.863367 i
 200 -111 -0.857239 i
 200 -110 -0.851083 i
 200 -109 -0.844899 i
 200 -108 -0.838689 i
 200 -107 -0.832452 i
 200 -106 -0.826191 i
 200 -105 -0.819905 i
 200 -104 -0.813595 i
 200 -103 -0.807263 i
 200 -102 -0.800908 i
 200 -101 -0.794533 i
 200 -100 -0.788137 i
 200 -99 -0.781723 i
 200 -98 -0.77529 i
 200 -97 -0.768841 i
 200 -96 -0.762375 i
 200 -95 -0.755894 i
 200 -94 -0.749399 i
 200 -93 -0.742891 i
 200 -92 -0.736371 i
 200 -91 -0.72984 i
 200 -90 -0.723299 i
 200 -89 -0.71675 i
 200 -88 -0.710192 i
 200 -87 -0.703628 i
 200 -86 -0.697057 i
 200 -85 -0.690482 i
 200 -84 -0.683903 i
 200 -83 -0.677321 i
 200 -82 -0.670737 i
 200 -81 -0.664152 i
 200 -80 -0.657566 i
 200 -79 -0.65098 i
 200 -78 -0.644396 i
 200 -77 -0.637812 i
 200 -76 -0.631231 i
 200 -75 -0.624652 i
 200 -74 -0.618076 i
 200 -73 -0.611503 i
 200 -72 -0.604934 i
 200 -71 -0.598368 i
 200 -70 -0.591806 i
 200 -69 -0.585247 i
 200 -68 -0.578692 i
 200 -67 -0.572141 i
 200 -66 -0.565591 i
 200 -65 -0.559044 i
 200 -64 -0.552499 i
 200 -63 -0.545955 i
 200 -62 -0.539412 i
 200 -61 -0.532867 i
 200 -60 -0.52632 i
 200 -59 -0.519771 i
 200 -58 -0.513217 i
 200 -57 -0.506658 i
 200 -56 -0.500091 i
 200 -55 -0.493514 i
 200 -54 -0.486927 i
 200 -53 -0.480328 i
 200 -52 -0.473713 i
 200 -51 -0.46708 i
 200 -50 -0.460428 i
 200 -49 -0.453753 i
 200 -48 -0.447053 i
 200 -47 -0.440324 i
 200 -46 -0.433565 i
 200 -45 -0.426771 i
 200 -44 -0.41994 i
 200 -43 -0.413067 i
 200 -42 -0.406148 i
 200 -41 -0.399181 i
 200 -40 -0.39216 i
 200 -39 -0.385081 i
 200 -38 -0.37794 i
 200 -37 -0.370732 i
 200 -36 -0.363452 i
 200 -35 -0.356094 i
 200 -34 -0.348652 i
 200 -33 -0.341122 i
 200 -32 -0.333497 i
 200 -31 -0.325771 i
 200 -30 -0.317936 i
 200 -29 -0.309987 i
 200 -28 -0.301915 i
 200 -27 -0.293713 i
 200 -26 -0.285374 i
 200 -25 -0.276889 i
 200 -24 -0.26825 i
 200 -23 -0.259449 i
 200 -22 -0.250477 i
 200 -21 -0.241324 i
 200 -20 -0.231983 i
 200 -19 -0.222445 i
 200 -18 -0.2127 i
 200 -17 -0.20274 i
 200 -16 -0.192559 i
 200 -15 -0.182149 i
 200 -14 -0.171504 i
 200 -13 -0.16062 i
 200 -12 -0.149495 i
 200 -11 -0.138127 i
 200 -10 -0.126518 i
 200 -9 -0.114674 i
 200 -8 -0.102602 i
 200 -7 -0.0903144 i
 200 -6 -0.0778256 i
 200 -5 -0.0651551 i
 200 -4 -0.0523256 i
 200 -3 -0.0393643 i
 200 -2 -0.026301 i
 200 -1 -0.0131681 i
 200  0 -1.37804e-15 i
 200  1  0.0131681 i
 200  2  0.026301 i
 200  3  0.0393643 i
 200  4  0.0523256 i
 200  5  0.0651551 i
 200  6  0.0778256 i
 200  7  0.0903144 i
 200  8  0.102602 i
 200  9  0.114674 i
 200  10  0.126518 i
 200  11  0.138127 i
 200  12  0.149495 i
 200  13  0.16062 i
 200  14  0.171504 i
 200  15  0.182149 i
 200  16  0.192559 i
 200  17  0.20274 i
 200  18  0.2127 i
 200  19  0.222445 i
 200  20  0.231983 i
 200  21  0.241324 i
 200  22  0.250477 i
 200  23  0.259449 i
 200  24  0.26825 i
 200  25  0.276889 i
 200  26  0.285374 i
 200  27  0.293713 i
 200  28  0.301915 i
 200  29  0.309987 i
 200  30  0.317936 i
 200  31  0.325771 i
 200  32  0.333497 i
 200  33  0.341122 i
 200  34  0.348652 i
 200  35  0.356094 i
 200  36  0.363452 i
 200  37  0.370732 i
 200  38  0.37794 i
 200  39  0.385081 i
 200  40  0.39216 i
 200  41  0.399181 i
 200  42  0.406148 i
 200  43  0.413067 i
 200  44  0.41994 i
 200  45  0.426771 i
 200  46  0.433565 i
 200  47  0.440324 i
 200  48  0.447053 i
 200  49  0.453753 i
 200  50  0.460428 i
 200  51  0.46708 i
 200  52  0.473713 i
 200  53  0.480328 i
 200  54  0.486927 i
 200  55  0.493514 i
 200  56  0.500091 i
 200  57  0.506658 i
 200  58  0.513217 i
 200  59  0.519771 i
 200  60  0.52632 i
 200  61  0.532867 i
 200  62  0.539412 i
 200  63  0.545955 i
 200  64  0.552499 i
 200  65  0.559044 i
 200  66  0.565591 i
 200  67  0.572141 i
 200  68  0.578692 i
 200  69  0.585247 i
 200  70  0.591806 i
 200  71  0.598368 i
 200  72  0.604934 i
 200  73  0.611503 i
 200  74  0.618076 i
 200  75  0.624652 i
 200  76  0.631231 i
 200  77  0.637812 i
 200  78  0.644396 i
 200  79  0.65098 i
 200  80  0.657566 i
 200  81  0.664152 i
 200  82  0.670737 i
 200  83  0.677321 i
 200  84  0.683903 i
